seed,num_customer_requests,num_robots,num_operators,utilization_time_period,num_delivered,delivery_rate,utilization_rate,num_risks
231,20,4,1,"['0900-1030', '0930-1100', '1000-1130', '1030-1200']",20,1.0,[0.90067912 0.65557554 0.53498623 0.42775463],23
2194,20,3,1,[],20,1.0,[0.94206364 0.96866323 0.96578426],7
4687,20,2,3,[],20,1.0,[0.97945205 0.94707918],11
7617,20,3,2,[],20,1.0,[0.96644988 0.89865523 0.95002883],17
5129,30,4,1,"['0900-1200', '0900-1030', '1030-1200', '1000-1100']",23,0.7666666666666667,[0.88455842 0.94536105 0.43106023 0.46636213],21
9862,30,4,2,"['0900-1200', '0900-1030', '1030-1200', '1000-1100']",24,0.8,[0.95486559 0.95974401 0.44612976 0.46378932],15
5394,20,2,2,[],20,1.0,[0.96114377 0.95456361],13
9210,20,4,2,[],20,1.0,[0.95806029 0.87253361 0.95574677 0.92372057],19
6254,30,2,2,[],20,0.6666666666666666,[0.92745536 0.95127893],20
3853,20,4,3,[],20,1.0,[0.97487923 0.92278757 0.97452479 0.98469508],11
1505,30,3,3,"['0900-1030', '0930-1100', '1030-1200']",15,0.5,[0.89724223 0.68852459 0.47000555],17
231,20,3,2,"['0900-1200', '0900-1030', '1030-1200']",20,1.0,[0.90960564 0.95745145 0.45868003],22
4671,20,2,1,[],20,1.0,[0.94647295 0.9110861 ],16
4568,30,4,3,[],30,1.0,[0.91701245 0.93366219 0.96117085 0.93930276],29
7181,30,4,2,"['0900-1030', '0930-1100', '1000-1130', '1030-1200']",21,0.7,[0.97576887 0.69282114 0.57737546 0.45764661],14
1719,25,4,2,[],25,1.0,[0.95953642 0.97057033 0.96936719 0.95283019],14
6388,20,2,3,"['0900-1200', '1000-1100']",13,0.65,[0.95170877 0.43299702],14
2313,20,3,1,"['0900-1030', '0930-1100', '1030-1200']",15,0.75,[0.9396568  0.68969797 0.4485548 ],12
1429,30,4,3,"['0900-1200', '0900-1030', '1030-1200', '1000-1100']",25,0.8333333333333334,[0.95761923 0.94396552 0.47020502 0.49092398],15
8895,30,4,2,"['0900-1200', '0900-1030', '1030-1200', '1000-1100']",23,0.7666666666666667,[0.92080892 0.91890206 0.48257373 0.46373993],28
